ID,name,position,age,nationality,current_club,matches_played
f340,Sven Botman,DF,25,nl NED,Newcastle Utd,3
f341,Saïmon Bouabré,"MF,FW",18,fr FRA,Monaco,2
f342,Ayyoub Bouaddi,MF,17,fr FRA,Lille,16
f343,Badredine Bouanani,"MF,FW",20,dz ALG,Nice,18
f344,Benjamin Bouchouari,MF,23,ma MAR,Saint-Étienne,16
f345,Hicham Boudaoui,MF,25,dz ALG,Nice,17
f346,Carlo Boukhalfa,MF,25,ma MAR,St. Pauli,18
f347,Justin Bourgault,DF,19,fr FRA,Brest,1
f348,Benjamin Bourigeaud,MF,31,fr FRA,Rennes,1
f349,Edoardo Bove,"MF,FW",22,it ITA,Fiorentina,12
f350,Jarrod Bowen,"FW,MF",28,eng ENG,West Ham,20
f351,Enzo Boyomo,DF,23,cm CMR,Osasuna,20
f352,Enzo Boyomo,DF,23,cm CMR,Valladolid,3
f353,Domagoj Bradarić,DF,25,hr CRO,Hellas Verona,17
f354,Conor Bradley,DF,21,nir NIR,Liverpool,10
f355,Bilal Brahimi,MF,24,dz ALG,Nice,2
f356,Julian Brandt,MF,28,de GER,Dortmund,18
f357,Jarrad Branthwaite,DF,22,eng ENG,Everton,17
f358,Darko Brašanac,MF,33,rs SRB,Leganés,20
f359,Lilian Brassier,DF,25,fr FRA,Marseille,12
f360,Lilian Brassier,DF,25,fr FRA,Rennes,2
f361,Matthias Braunöder,MF,22,at AUT,Como,8
f362,Iker Bravo,"FW,MF",20,es ESP,Udinese,17
f363,James Bree,DF,27,eng ENG,Southampton,11
f364,Tim Breithaupt,MF,23,de GER,Augsburg,2
f365,Gleison Bremer,DF,27,br BRA,Juventus,6
f366,Brenner,"MF,FW",25,br BRA,Udinese,9
f367,Ben Brereton,FW,25,cl CHI,Southampton,10
f368,Marco Brescianini,MF,25,it ITA,Atalanta,18
f369,Maximilian Breunig,"FW,MF",24,de GER,Heidenheim,13
f370,Anthony Briançon,DF,30,fr FRA,Saint-Étienne,1
f371,Nathan Broadhead,"FW,MF",26,wls WAL,Ipswich Town,9
f372,Armando Broja,FW,23,al ALB,Everton,5
