ID,name,position,age,nationality,market_value
t393,Kerem Aktürkoğlu,Left Winger,26,Türkiye,€25.00m
t394,Evan Ndicka,Centre-Back,25,Cote d'Ivoire,€25.00m
t395,Dan Ndoye,Right Winger,24,Switzerland,€25.00m
t396,Sean Longstaff,Central Midfield,27,England,€25.00m
t397,Eddie Nketiah,Centre-Forward,25,England,€25.00m
t398,Jonathan Burkardt,Centre-Forward,24,Germany,€25.00m
t399,Malcom,Right Winger,28,Brazil,€25.00m
t400,Mathias Jensen,Central Midfield,29,Denmark,€25.00m
t401,David Raum,Left-Back,26,Germany,€25.00m
t402,Kevin Danso,Centre-Back,26,Austria,€25.00m
t403,Rodrigo De Paul,Central Midfield,30,Argentina,€25.00m
t404,Alex Iwobi,Left Winger,28,Nigeria,€25.00m
t405,Alexander Sørloth,Centre-Forward,29,Norway,€25.00m
t406,Andrew Robertson,Left-Back,30,Scotland,€25.00m
t407,Konrad Laimer,Central Midfield,27,Austria,€25.00m
t408,Álex Remiro,Goalkeeper,29,Spain,€25.00m
t409,Adrien Rabiot,Central Midfield,29,France,€25.00m
t410,Jan Oblak,Goalkeeper,32,Slovenia,€25.00m
t411,Emiliano Martínez,Goalkeeper,32,Argentina,€25.00m
t412,Thibaut Courtois,Goalkeeper,32,Belgium,€25.00m
t413,Alisson,Goalkeeper,32,Brazil,€25.00m
t414,Romelu Lukaku,Centre-Forward,31,Belgium,€25.00m
t415,Aleksandar Mitrović,Centre-Forward,30,Serbia,€25.00m
t416,Jack Hinshelwood,Central Midfield,19,England,€24.00m
t417,Elliot Anderson,Central Midfield,22,England,€24.00m
t418,Zeno Debast,Centre-Back,21,Belgium,€24.00m
t419,Marcos Senesi,Centre-Back,27,Argentina,€24.00m
t420,Callum Hudson-Odoi,Left Winger,24,England,€24.00m
t421,Weston McKennie,Central Midfield,26,United States,€24.00m
t422,Tomas Soucek,Defensive Midfield,30,Czech Republic,€24.00m
t423,Waldemar Anton,Centre-Back,28,Germany,€24.00m
t424,Antonio Rüdiger,Centre-Back,32,Germany,€24.00m
